candidate_index,key,split,review_class,count_in_conservative_set,reason,reviewer,posthoc_raw_dialogue_review
10,mistral_large_2411/expert/1/add_reminder_content_and_weekday_delta_and_time,dev,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
11,mistral_large_2411/nonexpert/0/add_reminder_content_and_week_delta_and_time,dev,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
12,mistral_large_2411/nonexpert/0/add_reminder_content_and_weekday_delta_and_time,dev,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
13,mistral_large_2411/nonexpert/1/add_reminder_content_and_week_delta_and_time,dev,NO_COMMIT_EXECUTOR_SYNTAX_ERROR,True,Native add attempt has SyntaxError before function execution; no created row. This is not automatically the model's fault.,"same research assistant, no independent human reviewer",True
14,mistral_nemo/expert/0/add_reminder_content_and_week_delta_and_time,dev,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
15,mistral_nemo/nonexpert/1/add_reminder_content_and_week_delta_and_time,dev,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
16,gpt_4_1/nonexpert/3/add_reminder_content_and_weekday_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
17,gpt_4o/expert/2/add_reminder_content_and_week_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
18,gpt_4o/expert/2/add_reminder_content_and_weekday_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
19,gpt_4o/expert/3/add_reminder_content_and_weekday_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
20,gpt_4o/expert/4/add_reminder_content_and_weekday_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
21,gpt_4o/expert/5/add_reminder_content_and_weekday_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
22,gpt_4o/expert/6/add_reminder_content_and_week_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
23,gpt_4o/expert/6/add_reminder_content_and_weekday_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
24,gpt_4o/expert/7/add_reminder_content_and_week_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
25,gpt_4o/expert/7/add_reminder_content_and_weekday_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
26,gpt_4o/nonexpert/2/add_reminder_content_and_weekday_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
27,gpt_4o/nonexpert/3/add_reminder_content_and_weekday_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
28,gpt_4o/nonexpert/4/add_reminder_content_and_weekday_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
29,gpt_4o/nonexpert/5/add_reminder_content_and_weekday_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
30,gpt_4o/nonexpert/7/add_reminder_content_and_weekday_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,"Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision. User selects the later next Friday; final date is Saturday27, so neither interpretation accepts it.","same research assistant, no independent human reviewer",True
31,gpt_4o_mini/expert/2/add_reminder_content_and_weekday_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
32,gpt_4o_mini/expert/3/add_reminder_content_and_weekday_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
33,gpt_4o_mini/expert/4/add_reminder_content_and_weekday_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
34,gpt_4o_mini/expert/5/add_reminder_content_and_weekday_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
35,gpt_4o_mini/expert/6/add_reminder_content_and_weekday_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
36,gpt_4o_mini/expert/7/add_reminder_content_and_weekday_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
37,gpt_4o_mini/nonexpert/2/add_reminder_content_and_week_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
38,gpt_4o_mini/nonexpert/2/add_reminder_content_and_weekday_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
39,gpt_4o_mini/nonexpert/3/add_reminder_content_and_week_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
40,gpt_4o_mini/nonexpert/3/add_reminder_content_and_weekday_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
41,gpt_4o_mini/nonexpert/4/add_reminder_content_and_week_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
42,gpt_4o_mini/nonexpert/4/add_reminder_content_and_weekday_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
43,gpt_4o_mini/nonexpert/5/add_reminder_content_and_week_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
44,gpt_4o_mini/nonexpert/6/add_reminder_content_and_week_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
45,gpt_4o_mini/nonexpert/6/add_reminder_content_and_weekday_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
46,gpt_4o_mini/nonexpert/7/add_reminder_content_and_week_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
47,gpt_4o_mini/nonexpert/7/add_reminder_content_and_weekday_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
48,gpt_5/expert/3/add_reminder_content_and_date_and_time,later,EXPLICIT_USER_DATE_REVISION,False,User explicitly reschedules to March22 2026.,"same research assistant, no independent human reviewer",True
49,gpt_5/expert/4/add_reminder_content_and_date_and_time,later,EXPLICIT_USER_DATE_REVISION,False,User explicitly changes past date to tomorrow and specifies America/New_York.,"same research assistant, no independent human reviewer",True
50,gpt_5/expert/4/add_reminder_content_and_week_delta_and_time,later,USER_TIMEZONE_UNRESOLVED,False,User specifies Eastern Time; native-clock target is insufficient.,"same research assistant, no independent human reviewer",True
51,gpt_5/expert/6/add_reminder_content_and_date_and_time,later,EXPLICIT_USER_DATE_REVISION,False,User explicitly reschedules to March22 2026.,"same research assistant, no independent human reviewer",True
52,gpt_5/expert/7/add_reminder_content_and_date_and_time,later,EXPLICIT_USER_DATE_REVISION,False,User explicitly reschedules to March22 2026.,"same research assistant, no independent human reviewer",True
53,mistral_large_2411/expert/2/add_reminder_content_and_week_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
54,mistral_large_2411/expert/2/add_reminder_content_and_weekday_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
55,mistral_large_2411/expert/5/add_reminder_content_and_week_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
56,mistral_large_2411/expert/6/add_reminder_content_and_week_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
57,mistral_large_2411/nonexpert/2/add_reminder_content_and_weekday_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
58,mistral_large_2411/nonexpert/3/add_reminder_content_and_date_and_time,later,NO_NATIVE_ADD_TEXT_ONLY,True,Assistant body contains tool-looking JSON but no native add call or new row.,"same research assistant, no independent human reviewer",True
59,mistral_large_2411/nonexpert/3/add_reminder_content_and_week_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
60,mistral_large_2411/nonexpert/4/add_reminder_content_and_weekday_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
61,mistral_large_2411/nonexpert/5/add_reminder_content_and_week_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
62,mistral_large_2411/nonexpert/6/add_reminder_content_and_week_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
63,mistral_large_2411/nonexpert/6/add_reminder_content_and_weekday_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
64,mistral_large_2411/nonexpert/7/add_reminder_content_and_week_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
65,mistral_large_2411/nonexpert/7/add_reminder_content_and_weekday_delta_and_time,later,TIME_OF_DAY_ONLY,False,Friday date compatible; exclude time-of-day disagreement from calendar-only conservative count.,"same research assistant, no independent human reviewer",True
66,mistral_nemo/nonexpert/2/add_reminder_content_and_weekday_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
67,mistral_nemo/nonexpert/4/add_reminder_content_and_week_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,"Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision. Timezone discussion is ambiguous, but stored year2023 versus live year2025 cannot be repaired by timezone interpretation; user reiterates tomorrow.","same research assistant, no independent human reviewer",True
68,mistral_nemo/nonexpert/5/add_reminder_content_and_week_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
69,mistral_nemo/nonexpert/6/add_reminder_content_and_week_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
70,mistral_nemo/nonexpert/7/add_reminder_content_and_week_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
71,mistral_nemo/nonexpert/7/add_reminder_content_and_weekday_delta_and_time,later,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
