key,batch,turn,message,tool_names,call_ids,receipt_ids,ns_updates
gpt_4_1/expert/2/cellular_off,0,0,1,"[""set_cellular_service_status""]","[""call_wPip4x27OfVUxYkQ1whqlQ0P""]","[""call_wPip4x27OfVUxYkQ1whqlQ0P""]","[""SETTING""]"
gpt_4_1/expert/2/convert_currency,0,0,1,"[""convert_currency""]","[""call_tYR3DQ4p26LgipLxwKVjpqbL""]","[""call_tYR3DQ4p26LgipLxwKVjpqbL""]",[]
gpt_4_1/expert/2/find_address_with_lat_lon,0,0,1,"[""search_lat_lon""]","[""call_jAXhNZvL4UH2sSlKjNjT2Kxk""]","[""call_jAXhNZvL4UH2sSlKjNjT2Kxk""]",[]
gpt_4_1/expert/2/find_current_city_low_battery_mode,0,0,1,"[""get_current_location""]","[""call_fI0MxEDlvpBen67S7y0n3N3H""]","[""call_fI0MxEDlvpBen67S7y0n3N3H""]",[]
gpt_4_1/expert/2/find_current_city_low_battery_mode,1,2,1,"[""get_current_location""]","[""call_Wo0qX1NTca0Qq1I2B6aK3uT0""]","[""call_Wo0qX1NTca0Qq1I2B6aK3uT0""]",[]
gpt_4_1/expert/2/find_current_city_low_battery_mode,2,3,1,"[""set_location_service_status""]","[""call_cdnGdgaHcSt1TaVB0ibYSKdz""]","[""call_cdnGdgaHcSt1TaVB0ibYSKdz""]",[]
gpt_4_1/expert/2/find_current_city_low_battery_mode,3,4,1,"[""set_low_battery_mode_status""]","[""call_NInKMlHDxT6rP75d0Ycgsrvt""]","[""call_NInKMlHDxT6rP75d0Ycgsrvt""]","[""SETTING""]"
gpt_4_1/expert/2/find_current_city_low_battery_mode,4,4,3,"[""set_location_service_status""]","[""call_Fq2OCSJ810shkcjjZYHkeWfA""]","[""call_Fq2OCSJ810shkcjjZYHkeWfA""]","[""SETTING""]"
gpt_4_1/expert/2/find_current_city_low_battery_mode,5,4,5,"[""get_current_location""]","[""call_eSOAv2dqVkaPzKEDHjkDNqs5""]","[""call_eSOAv2dqVkaPzKEDHjkDNqs5""]",[]
gpt_4_1/expert/2/find_current_city_low_battery_mode,6,4,7,"[""search_lat_lon""]","[""call_8afjugrxu3AIpfd2TB6kON0w""]","[""call_8afjugrxu3AIpfd2TB6kON0w""]",[]
gpt_4_1/expert/2/find_current_city_low_battery_mode,7,5,1,"[""set_wifi_status""]","[""call_yGCoziQRyMnnm9niNGvYujIR""]","[""call_yGCoziQRyMnnm9niNGvYujIR""]","[""SETTING""]"
gpt_4_1/expert/2/find_current_city_low_battery_mode,8,5,3,"[""search_lat_lon""]","[""call_zXORejPnkbW4YPXlANhfDyxh""]","[""call_zXORejPnkbW4YPXlANhfDyxh""]",[]
gpt_4_1/expert/2/find_days_till_holiday,0,0,1,"[""get_current_timestamp"", ""search_holiday""]","[""call_CWHpJo9WJHC4y1xLXfvC7cNH"", ""call_GEaAe4N3kE8BMCmQMdP2CBJk""]","[""call_CWHpJo9WJHC4y1xLXfvC7cNH"", ""call_GEaAe4N3kE8BMCmQMdP2CBJk""]",[]
gpt_4_1/expert/2/find_days_till_holiday,1,0,4,"[""timestamp_diff""]","[""call_qUBmeQWvV8l3QJmYGvaUnoXJ""]","[""call_qUBmeQWvV8l3QJmYGvaUnoXJ""]",[]
gpt_4_1/expert/2/find_days_till_holiday_wifi_off,0,0,1,"[""get_current_timestamp"", ""search_holiday""]","[""call_GUHe555ghKZgGirloB7mn5cJ"", ""call_hIrS6cNinmSdhbf2VLNZbCog""]","[""call_GUHe555ghKZgGirloB7mn5cJ"", ""call_hIrS6cNinmSdhbf2VLNZbCog""]",[]
gpt_4_1/expert/2/find_days_till_holiday_wifi_off,1,0,4,"[""set_wifi_status""]","[""call_2YR0fAk7eUGSAciuLpQsWWSl""]","[""call_2YR0fAk7eUGSAciuLpQsWWSl""]","[""SETTING""]"
gpt_4_1/expert/2/find_days_till_holiday_wifi_off,2,0,6,"[""search_holiday""]","[""call_t6aJIMYa8IHqHLRqJZyuM0lJ""]","[""call_t6aJIMYa8IHqHLRqJZyuM0lJ""]",[]
gpt_4_1/expert/2/find_days_till_holiday_wifi_off,3,0,8,"[""timestamp_diff""]","[""call_93V3E3qzKmLvMLRYyQT3goBs""]","[""call_93V3E3qzKmLvMLRYyQT3goBs""]",[]
gpt_4_1/expert/2/find_stock_symbol_with_company_name,0,0,1,"[""search_stock""]","[""call_KcOTeuIA64W52s27TejSa70e""]","[""call_KcOTeuIA64W52s27TejSa70e""]",[]
gpt_4_1/expert/2/find_stock_symbol_with_company_name_low_battery_mode,0,0,1,"[""search_stock""]","[""call_id7I6rHyhgxNkPQ5tzKTs907""]","[""call_id7I6rHyhgxNkPQ5tzKTs907""]",[]
gpt_4_1/expert/2/find_stock_symbol_with_company_name_low_battery_mode,1,0,3,"[""set_wifi_status""]","[""call_ONLaUpuiYRwYPnxpFSJyf2u4""]","[""call_ONLaUpuiYRwYPnxpFSJyf2u4""]",[]
gpt_4_1/expert/2/find_stock_symbol_with_company_name_low_battery_mode,2,0,5,"[""get_low_battery_mode_status""]","[""call_KBShrikTS3tR5ULx1sujcoHG""]","[""call_KBShrikTS3tR5ULx1sujcoHG""]",[]
gpt_4_1/expert/2/find_stock_symbol_with_company_name_low_battery_mode,3,0,7,"[""set_low_battery_mode_status""]","[""call_dlHZutxvRBrHegTlchfnnGmV""]","[""call_dlHZutxvRBrHegTlchfnnGmV""]","[""SETTING""]"
gpt_4_1/expert/2/find_stock_symbol_with_company_name_low_battery_mode,4,0,9,"[""set_wifi_status""]","[""call_lWu7WPIX2Zx7lZEYMCHnXz8L""]","[""call_lWu7WPIX2Zx7lZEYMCHnXz8L""]","[""SETTING""]"
gpt_4_1/expert/2/find_stock_symbol_with_company_name_low_battery_mode,5,0,11,"[""search_stock""]","[""call_DCXubC5qUB3vmdLNP1uVfmDA""]","[""call_DCXubC5qUB3vmdLNP1uVfmDA""]",[]
gpt_4_1/expert/2/find_thanksgiving_timestamp,0,0,1,"[""search_holiday""]","[""call_0L3IX3bdq1ObDyMQF2ya0lvF""]","[""call_0L3IX3bdq1ObDyMQF2ya0lvF""]",[]
gpt_4_1/expert/2/get_cellular,0,1,1,"[""get_cellular_service_status""]","[""call_SWG09JnGncSm3DcRCZAhqDDk""]","[""call_SWG09JnGncSm3DcRCZAhqDDk""]",[]
gpt_4_1/expert/2/get_wifi,0,0,1,"[""get_wifi_status""]","[""call_ynyiZpoOM8hEI21MWJagEeOk""]","[""call_ynyiZpoOM8hEI21MWJagEeOk""]",[]
gpt_4_1/expert/2/modify_contact_with_message_recency,0,0,1,"[""get_current_timestamp""]","[""call_D2NH8F8fr6b6I4uEhEVGIAP2""]","[""call_D2NH8F8fr6b6I4uEhEVGIAP2""]",[]
gpt_4_1/expert/2/modify_contact_with_message_recency,1,0,3,"[""search_messages""]","[""call_1AuOEznKV422B4N2Tv42Tl2p""]","[""call_1AuOEznKV422B4N2Tv42Tl2p""]",[]
gpt_4_1/expert/2/remove_contact_by_phone,0,0,1,"[""search_contacts""]","[""call_PtzThOTWU56QBmr0HgYCzzKI""]","[""call_PtzThOTWU56QBmr0HgYCzzKI""]",[]
gpt_4_1/expert/2/remove_contact_by_phone,1,0,3,"[""remove_contact""]","[""call_PiZAWyOogWfb88KUU4sbXFVL""]","[""call_PiZAWyOogWfb88KUU4sbXFVL""]","[""CONTACT""]"
gpt_4_1/expert/2/remove_contact_by_phone_no_remove_contact_insufficient_information,0,0,1,"[""search_contacts""]","[""call_Jei5OE8ByeUfKlnN9sEXNRBd""]","[""call_Jei5OE8ByeUfKlnN9sEXNRBd""]",[]
gpt_4_1/expert/2/remove_contact_with_id,0,0,1,"[""remove_contact""]","[""call_plvVPKSQrj8A0noBG89Gi4Fs""]","[""call_plvVPKSQrj8A0noBG89Gi4Fs""]","[""CONTACT""]"
gpt_4_1/expert/2/search_message_with_recency_latest,0,0,1,"[""get_current_timestamp""]","[""call_37Z9sT4TxHLfJsOwggYwCiv3""]","[""call_37Z9sT4TxHLfJsOwggYwCiv3""]",[]
gpt_4_1/expert/2/search_message_with_recency_latest,1,0,3,"[""search_messages""]","[""call_CzcfW8w2yuMXLkBlG8NzhSar""]","[""call_CzcfW8w2yuMXLkBlG8NzhSar""]",[]
gpt_4_1/expert/2/search_message_with_recency_oldest,0,1,1,"[""get_current_timestamp""]","[""call_ChylFNmQTzqGaYVnEI5o6gfF""]","[""call_ChylFNmQTzqGaYVnEI5o6gfF""]",[]
gpt_4_1/expert/2/search_message_with_recency_oldest,1,1,3,"[""search_messages""]","[""call_irh8ziTLrNYedSIgpsc1rDjc""]","[""call_irh8ziTLrNYedSIgpsc1rDjc""]",[]
gpt_4_1/expert/2/search_name_with_relationship,0,1,1,"[""search_contacts""]","[""call_fV3tibPKwg7Df66CTdBl7iWd""]","[""call_fV3tibPKwg7Df66CTdBl7iWd""]",[]
gpt_4_1/expert/2/search_phone_number_with_name,0,0,1,"[""search_contacts""]","[""call_EcDvXXTe66gCM7zQjkLiIqXO""]","[""call_EcDvXXTe66gCM7zQjkLiIqXO""]",[]
gpt_4_1/expert/2/search_relationship_with_phone_number,0,0,1,"[""search_contacts""]","[""call_NH0pgkYGHQvxbyTRlm1aSNnC""]","[""call_NH0pgkYGHQvxbyTRlm1aSNnC""]",[]
gpt_4_1/expert/2/search_reminder_with_creation_recency_yesterday,0,0,1,"[""get_current_timestamp""]","[""call_5t9KDn1rLoVHysY8ym6ZdMti""]","[""call_5t9KDn1rLoVHysY8ym6ZdMti""]",[]
gpt_4_1/expert/2/search_reminder_with_creation_recency_yesterday,1,0,3,"[""shift_timestamp""]","[""call_HGwDveWrEOH6oI9XtUNqTpzQ""]","[""call_HGwDveWrEOH6oI9XtUNqTpzQ""]",[]
gpt_4_1/expert/2/search_reminder_with_creation_recency_yesterday,2,0,5,"[""search_reminder""]","[""call_ibUyI4ptoMe8Vp7ZztRKmIcr""]","[""call_ibUyI4ptoMe8Vp7ZztRKmIcr""]",[]
gpt_4_1/expert/2/search_reminder_with_creation_recency_yesterday,3,2,1,"[""search_reminder""]","[""call_ajBPL9yRQoj7thduRABI55CE""]","[""call_ajBPL9yRQoj7thduRABI55CE""]",[]
gpt_4_1/expert/2/search_reminder_with_recency_upcoming,0,0,1,"[""get_current_timestamp""]","[""call_Iwlq5Nkf5YgQliGa44JdhD7q""]","[""call_Iwlq5Nkf5YgQliGa44JdhD7q""]",[]
gpt_4_1/expert/2/search_reminder_with_recency_upcoming,1,0,3,"[""timestamp_to_datetime_info""]","[""call_kcuIhSLsZmD6k6Q1ARaRvfvi""]","[""call_kcuIhSLsZmD6k6Q1ARaRvfvi""]",[]
gpt_4_1/expert/2/search_reminder_with_recency_upcoming,2,0,5,"[""search_reminder""]","[""call_Q1zPNIemcvD5QleRca95qJsp""]","[""call_Q1zPNIemcvD5QleRca95qJsp""]",[]
gpt_4_1/expert/2/search_reminder_with_recency_yesterday,0,0,1,"[""get_current_timestamp""]","[""call_l2tlVx7tE0wWnB273GNMNjm0""]","[""call_l2tlVx7tE0wWnB273GNMNjm0""]",[]
gpt_4_1/expert/2/search_reminder_with_recency_yesterday,1,0,3,"[""shift_timestamp""]","[""call_aL2a5RPHkNof7mzRPTuh9QpL""]","[""call_aL2a5RPHkNof7mzRPTuh9QpL""]",[]
gpt_4_1/expert/2/search_reminder_with_recency_yesterday,2,0,5,"[""search_reminder""]","[""call_O9sAUrOWVSNmWPyMGdQMwiYP""]","[""call_O9sAUrOWVSNmWPyMGdQMwiYP""]",[]
gpt_4_1/expert/2/search_reminder_with_recency_yesterday,3,2,1,"[""search_reminder""]","[""call_Ow1nEieJSIubzdfbcc2DxBqp""]","[""call_Ow1nEieJSIubzdfbcc2DxBqp""]",[]
gpt_4_1/expert/2/search_reminder_with_recency_yesterday,4,2,3,"[""search_reminder""]","[""call_jpq4sxGauQHxP9bVvCEkjmCX""]","[""call_jpq4sxGauQHxP9bVvCEkjmCX""]",[]
gpt_4_1/expert/2/search_reminder_with_recency_yesterday,5,3,1,"[""search_reminder"", ""search_reminder"", ""search_reminder"", ""search_reminder""]","[""call_ZcluGJxfjh1CgVga0oPYu9dr"", ""call_o4mfIs0NNOPIXnjm6a8XK1gd"", ""call_Isbln7igMVkfPomrtkZ8zll6"", ""call_CK0CtcTMQHE2sut76DejmgUL""]","[""call_ZcluGJxfjh1CgVga0oPYu9dr"", ""call_o4mfIs0NNOPIXnjm6a8XK1gd"", ""call_Isbln7igMVkfPomrtkZ8zll6"", ""call_CK0CtcTMQHE2sut76DejmgUL""]",[]
gpt_4_1/expert/2/search_sender_phone_number_with_content,0,1,1,"[""search_messages""]","[""call_ozJ8uOwexbCQ7rSux54IQdXr""]","[""call_ozJ8uOwexbCQ7rSux54IQdXr""]",[]
gpt_4_1/expert/2/send_message_with_contact_content_cellular_off,0,0,1,"[""search_contacts""]","[""call_UuRl0436u2ZniTq37ZTcUFA2""]","[""call_UuRl0436u2ZniTq37ZTcUFA2""]",[]
gpt_4_1/expert/2/send_message_with_contact_content_cellular_off,1,0,3,"[""send_message_with_phone_number""]","[""call_8r96zrdUnimC3nyuTqpBPHw2""]","[""call_8r96zrdUnimC3nyuTqpBPHw2""]",[]
gpt_4_1/expert/2/send_message_with_contact_content_cellular_off,2,0,5,"[""get_cellular_service_status""]","[""call_dE51KUQyNQ0byTz6QBaOeMuZ""]","[""call_dE51KUQyNQ0byTz6QBaOeMuZ""]",[]
gpt_4_1/expert/2/send_message_with_contact_content_cellular_off,3,0,7,"[""set_cellular_service_status""]","[""call_70q6BSgDlL9tnAMAc9WyjzHQ""]","[""call_70q6BSgDlL9tnAMAc9WyjzHQ""]","[""SETTING""]"
gpt_4_1/expert/2/send_message_with_contact_content_cellular_off,4,0,9,"[""send_message_with_phone_number""]","[""call_h7Hu3ukNpPHhbmtgPozJzhfj""]","[""call_h7Hu3ukNpPHhbmtgPozJzhfj""]","[""MESSAGING""]"
gpt_4_1/expert/2/send_message_with_phone_number_and_content,0,0,1,"[""send_message_with_phone_number""]","[""call_BK4mo2YSSY5lXGe4xjCG8h1O""]","[""call_BK4mo2YSSY5lXGe4xjCG8h1O""]","[""MESSAGING""]"
gpt_4_1/expert/2/turn_on_cellular_low_battery_mode,0,0,1,"[""set_cellular_service_status""]","[""call_j2syrUFWDFhzCbip2LvB21wp""]","[""call_j2syrUFWDFhzCbip2LvB21wp""]",[]
gpt_4_1/expert/2/turn_on_cellular_low_battery_mode,1,1,1,"[""set_low_battery_mode_status"", ""set_cellular_service_status""]","[""call_PtL4huhmTMI5G1Mn8YmdE3rC"", ""call_JTSMRh1SSaaVCalwwrQw3RZo""]","[""call_JTSMRh1SSaaVCalwwrQw3RZo"", ""call_PtL4huhmTMI5G1Mn8YmdE3rC""]","[""SETTING""]"
gpt_4_1/expert/2/turn_on_cellular_low_battery_mode,2,2,1,"[""get_low_battery_mode_status""]","[""call_BDIOVSJQlLgkxNARiM96qVzW""]","[""call_BDIOVSJQlLgkxNARiM96qVzW""]",[]
gpt_4_1/expert/2/turn_on_cellular_low_battery_mode,3,3,1,"[""set_cellular_service_status""]","[""call_hIFl6zZlsnTUiWOrtpLr4eqL""]","[""call_hIFl6zZlsnTUiWOrtpLr4eqL""]","[""SETTING""]"
gpt_4_1/expert/2/turn_on_location_low_battery_mode,0,0,1,"[""set_location_service_status""]","[""call_jaD9O8EMhH0spMjHxClXjQjb""]","[""call_jaD9O8EMhH0spMjHxClXjQjb""]",[]
gpt_4_1/expert/2/turn_on_location_low_battery_mode,1,1,1,"[""set_low_battery_mode_status"", ""set_location_service_status""]","[""call_Kn0Nlt5GCi17iTERFRnYK30j"", ""call_yrsNzy0CtBke5P8mzuQAIKFW""]","[""call_yrsNzy0CtBke5P8mzuQAIKFW"", ""call_Kn0Nlt5GCi17iTERFRnYK30j""]","[""SETTING""]"
gpt_4_1/expert/2/turn_on_location_low_battery_mode,2,3,1,"[""set_location_service_status""]","[""call_Qudy0O7KnLrTLGHbFKM88f7f""]","[""call_Qudy0O7KnLrTLGHbFKM88f7f""]","[""SETTING""]"
gpt_4_1/expert/2/turn_on_wifi_low_battery_mode,0,0,1,"[""set_wifi_status""]","[""call_0QBnE0LmCpeNO2yip9HOht1K""]","[""call_0QBnE0LmCpeNO2yip9HOht1K""]",[]
gpt_4_1/expert/2/turn_on_wifi_low_battery_mode,1,1,1,"[""set_low_battery_mode_status"", ""set_wifi_status""]","[""call_qjZiHHcWBzYSRlO2FRLsWHAf"", ""call_FTKli15rQufg8rDs82k6UXwh""]","[""call_FTKli15rQufg8rDs82k6UXwh"", ""call_qjZiHHcWBzYSRlO2FRLsWHAf""]","[""SETTING""]"
gpt_4_1/expert/2/turn_on_wifi_low_battery_mode,2,2,1,"[""set_low_battery_mode_status""]","[""call_RPkyC7jwR29PxTW7zbrTPzwG""]","[""call_RPkyC7jwR29PxTW7zbrTPzwG""]",[]
gpt_4_1/expert/2/turn_on_wifi_low_battery_mode,3,2,3,"[""set_wifi_status""]","[""call_ELBkLIXDtgrpCOdoPslqdrJS""]","[""call_ELBkLIXDtgrpCOdoPslqdrJS""]","[""SETTING""]"
gpt_4_1/expert/2/update_contact_relationship_with_relationship,0,0,1,"[""search_contacts""]","[""call_qMUenX2cG02vAD5FVKMuEYJe""]","[""call_qMUenX2cG02vAD5FVKMuEYJe""]",[]
gpt_4_1/expert/2/update_contact_relationship_with_relationship,1,0,3,"[""modify_contact"", ""modify_contact""]","[""call_61gk6AfY5CmaRffG4MLGH9dw"", ""call_rKEQE8smOYcrswMQSKHYVX93""]","[""call_61gk6AfY5CmaRffG4MLGH9dw"", ""call_rKEQE8smOYcrswMQSKHYVX93""]","[""CONTACT""]"
gpt_4_1/expert/2/update_contact_relationship_with_relationship_twice_multiple_user_turn,0,0,1,"[""search_contacts""]","[""call_y4dYGJ5c4A2NcaRmjJP9j6P0""]","[""call_y4dYGJ5c4A2NcaRmjJP9j6P0""]",[]
gpt_4_1/expert/2/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,0,3,"[""modify_contact"", ""modify_contact""]","[""call_aiclpWfju7Wt1hiNkg7Y37ll"", ""call_pADnvtYABtCoNfHYBirWWQ70""]","[""call_aiclpWfju7Wt1hiNkg7Y37ll"", ""call_pADnvtYABtCoNfHYBirWWQ70""]","[""CONTACT""]"
gpt_4_1/expert/2/update_contact_relationship_with_relationship_twice_multiple_user_turn,2,1,1,"[""search_contacts""]","[""call_jpFzs8mzStXh84OBIGgziDbQ""]","[""call_jpFzs8mzStXh84OBIGgziDbQ""]",[]
gpt_4_1/expert/2/update_contact_relationship_with_relationship_twice_multiple_user_turn,3,1,3,"[""modify_contact"", ""modify_contact""]","[""call_go6UAltcvunwwXLIinFl1Xun"", ""call_gTLxh2vU9nPrKz8UmZVxYW01""]","[""call_go6UAltcvunwwXLIinFl1Xun"", ""call_gTLxh2vU9nPrKz8UmZVxYW01""]","[""CONTACT""]"
gpt_4_1/expert/2/update_contact_with_id_and_phone_number,0,0,1,"[""modify_contact""]","[""call_nA4Ex8qLqP0yJ6A6Fzmk9YtT""]","[""call_nA4Ex8qLqP0yJ6A6Fzmk9YtT""]","[""CONTACT""]"
gpt_4_1/expert/2/wifi_off,0,0,1,"[""set_wifi_status""]","[""call_L0mclRrcVE6r2rDnjb9YuTxx""]","[""call_L0mclRrcVE6r2rDnjb9YuTxx""]","[""SETTING""]"
gpt_4_1/expert/3/add_contact_with_name_and_phone_number,0,0,1,"[""add_contact""]","[""call_nqKAwPypTd5orgf0k0017jVL""]","[""call_nqKAwPypTd5orgf0k0017jVL""]","[""CONTACT""]"
gpt_4_1/expert/3/add_reminder_content_and_date_and_time,0,0,1,"[""datetime_info_to_timestamp""]","[""call_s6aorEVIneLL9RZbm5zB4Wkn""]","[""call_s6aorEVIneLL9RZbm5zB4Wkn""]",[]
gpt_4_1/expert/3/add_reminder_content_and_date_and_time,1,0,3,"[""add_reminder""]","[""call_yRXsM6MWhRVOou6M9TOK5UcR""]","[""call_yRXsM6MWhRVOou6M9TOK5UcR""]","[""REMINDER""]"
gpt_4_1/expert/3/add_reminder_content_and_week_delta_and_time,0,0,1,"[""get_current_timestamp""]","[""call_VMwTj3Zw8Kb4cVNvVABailBs""]","[""call_VMwTj3Zw8Kb4cVNvVABailBs""]",[]
gpt_4_1/expert/3/add_reminder_content_and_week_delta_and_time,1,0,3,"[""timestamp_to_datetime_info""]","[""call_n6TzVAgWu3rJT36i2nlp7y5r""]","[""call_n6TzVAgWu3rJT36i2nlp7y5r""]",[]
gpt_4_1/expert/3/add_reminder_content_and_week_delta_and_time,2,0,5,"[""datetime_info_to_timestamp""]","[""call_OMXGNyd028ZXAHPSin7kBhkf""]","[""call_OMXGNyd028ZXAHPSin7kBhkf""]",[]
gpt_4_1/expert/3/add_reminder_content_and_week_delta_and_time,3,0,7,"[""add_reminder""]","[""call_t8Y6nf8u3VgUw8VAAj4Nb9jF""]","[""call_t8Y6nf8u3VgUw8VAAj4Nb9jF""]","[""REMINDER""]"
gpt_4_1/expert/3/add_reminder_content_and_weekday_delta_and_time,0,0,1,"[""get_current_timestamp""]","[""call_Pn6DtbuRvBu5ZfIFCvIbjH6E""]","[""call_Pn6DtbuRvBu5ZfIFCvIbjH6E""]",[]
gpt_4_1/expert/3/add_reminder_content_and_weekday_delta_and_time,1,0,3,"[""timestamp_to_datetime_info""]","[""call_QJUACm8ApGicCRy6UxoZvlY9""]","[""call_QJUACm8ApGicCRy6UxoZvlY9""]",[]
gpt_4_1/expert/3/add_reminder_content_and_weekday_delta_and_time,2,0,5,"[""datetime_info_to_timestamp""]","[""call_Cm2DCb1sm92IsQsuYLmA8uig""]","[""call_Cm2DCb1sm92IsQsuYLmA8uig""]",[]
gpt_4_1/expert/3/add_reminder_content_and_weekday_delta_and_time,3,0,7,"[""add_reminder""]","[""call_HC5PJOJFkdDTpova7Ql7PxIP""]","[""call_HC5PJOJFkdDTpova7Ql7PxIP""]","[""REMINDER""]"
gpt_4_1/expert/3/cellular_off,0,0,1,"[""set_cellular_service_status""]","[""call_bdPQYFEct5beUOkianK4gtS8""]","[""call_bdPQYFEct5beUOkianK4gtS8""]","[""SETTING""]"
gpt_4_1/expert/3/convert_currency,0,0,1,"[""convert_currency""]","[""call_mNzsSuUwzENPhSuXy1f573Py""]","[""call_mNzsSuUwzENPhSuXy1f573Py""]",[]
gpt_4_1/expert/3/find_address_with_lat_lon,0,0,1,"[""search_lat_lon""]","[""call_uECK1mfuLsJ7rxhMdyvDNKN8""]","[""call_uECK1mfuLsJ7rxhMdyvDNKN8""]",[]
gpt_4_1/expert/3/find_current_city_low_battery_mode,0,0,1,"[""get_current_location""]","[""call_aixVoEi0N9cok4xwGIT5n4nX""]","[""call_aixVoEi0N9cok4xwGIT5n4nX""]",[]
gpt_4_1/expert/3/find_current_city_low_battery_mode,1,1,1,"[""set_location_service_status""]","[""call_PU1iXQH0OvDbW4TwTtGgPGL1""]","[""call_PU1iXQH0OvDbW4TwTtGgPGL1""]",[]
gpt_4_1/expert/3/find_current_city_low_battery_mode,2,2,1,"[""set_low_battery_mode_status""]","[""call_q56i5vs2Z0AcvG0Nnvv5i1Pq""]","[""call_q56i5vs2Z0AcvG0Nnvv5i1Pq""]","[""SETTING""]"
gpt_4_1/expert/3/find_current_city_low_battery_mode,3,2,3,"[""set_location_service_status""]","[""call_2Ht59MWHSWt5jfifYkmEl8IU""]","[""call_2Ht59MWHSWt5jfifYkmEl8IU""]","[""SETTING""]"
gpt_4_1/expert/3/find_current_city_low_battery_mode,4,2,5,"[""get_current_location""]","[""call_Woh8jjjAoKsqKvnX35LvTvSC""]","[""call_Woh8jjjAoKsqKvnX35LvTvSC""]",[]
gpt_4_1/expert/3/find_current_city_low_battery_mode,5,2,7,"[""search_lat_lon""]","[""call_Lca6QLGf4GDg3qtI6m3eQxRR""]","[""call_Lca6QLGf4GDg3qtI6m3eQxRR""]",[]
gpt_4_1/expert/3/find_current_city_low_battery_mode,6,3,1,"[""set_wifi_status""]","[""call_ORnMihK0xQISBhlrZ2nHR3kw""]","[""call_ORnMihK0xQISBhlrZ2nHR3kw""]","[""SETTING""]"
gpt_4_1/expert/3/find_current_city_low_battery_mode,7,3,3,"[""search_lat_lon""]","[""call_k5jpElocCKt5EzcRgKhxOQrI""]","[""call_k5jpElocCKt5EzcRgKhxOQrI""]",[]
gpt_4_1/expert/3/find_days_till_holiday,0,0,1,"[""get_current_timestamp"", ""search_holiday""]","[""call_Pp1AypwzLP7WWIxjRUQvlTFb"", ""call_W3Bt3ADOrWC7oyKKzqckQqtc""]","[""call_Pp1AypwzLP7WWIxjRUQvlTFb"", ""call_W3Bt3ADOrWC7oyKKzqckQqtc""]",[]
gpt_4_1/expert/3/find_days_till_holiday,1,0,4,"[""timestamp_diff""]","[""call_hsdgyTIed923aUy0HlcDzrox""]","[""call_hsdgyTIed923aUy0HlcDzrox""]",[]
