key,source,sample_index,model,persona,trial,split,boundary,phase1,phase2,scoped_complete,reason,boundary_text,original_final_progress
gpt_4o/expert/6/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o/expert/trial_6_results.json,34,gpt_4o,expert,6,heldout,1,True,True,True,recorded_phase_boundary_only,"Please update all of them back to ""friend"" status.",0.8
gpt_4o/expert/7/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o/expert/trial_7_results.json,34,gpt_4o,expert,7,heldout,1,True,True,True,recorded_phase_boundary_only,"Please update all of them back to ""friend"" status.",0.8
gpt_4o/nonexpert/0/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o/nonexpert/trial_0_results.json,34,gpt_4o,nonexpert,0,dev,1,True,True,True,recorded_phase_boundary_only,"Oh, uh, can you just switch them back to friends now? Thanks.",0.8
gpt_4o/nonexpert/1/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o/nonexpert/trial_1_results.json,34,gpt_4o,nonexpert,1,dev,1,True,True,True,recorded_phase_boundary_only,"Oh, uh, can you just switch them back to friends now? Thanks.",0.8
gpt_4o/nonexpert/2/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o/nonexpert/trial_2_results.json,34,gpt_4o,nonexpert,2,heldout,2,True,True,True,recorded_phase_boundary_only,"Oh, actually, can you just switch them back to friends now? Sorry, I changed my mind.",0.8
gpt_4o/nonexpert/3/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o/nonexpert/trial_3_results.json,34,gpt_4o,nonexpert,3,heldout,1,True,True,True,recorded_phase_boundary_only,"Oh, uh, can you just put them back to being my friends again? Thanks.",0.8
gpt_4o/nonexpert/4/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o/nonexpert/trial_4_results.json,34,gpt_4o,nonexpert,4,heldout,1,True,True,True,recorded_phase_boundary_only,"Oh, uh, can you just switch them back to being my friends again? Thanks.",0.8
gpt_4o/nonexpert/5/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o/nonexpert/trial_5_results.json,34,gpt_4o,nonexpert,5,heldout,1,True,True,True,recorded_phase_boundary_only,"Oh, uh, can you just switch them back to being my friends again? Thanks.",0.8
gpt_4o/nonexpert/6/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o/nonexpert/trial_6_results.json,34,gpt_4o,nonexpert,6,heldout,1,True,True,True,recorded_phase_boundary_only,"Oh, cool, thanks. Can you, uh, switch them back to being my friends now?",0.8
gpt_4o/nonexpert/7/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o/nonexpert/trial_7_results.json,34,gpt_4o,nonexpert,7,heldout,2,True,True,True,recorded_phase_boundary_only,"Oh, cool, thanks. Can you just switch them back to friends now?",0.8
gpt_4o_mini/expert/0/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o_mini/expert/trial_0_results.json,34,gpt_4o_mini,expert,0,dev,1,True,True,True,recorded_phase_boundary_only,"Please update all those contacts back to ""friend"" status.",0.8
gpt_4o_mini/expert/1/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o_mini/expert/trial_1_results.json,34,gpt_4o_mini,expert,1,dev,1,True,True,True,recorded_phase_boundary_only,"Please update all those contacts back to ""friend"" status.",0.8
gpt_4o_mini/expert/2/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o_mini/expert/trial_2_results.json,34,gpt_4o_mini,expert,2,heldout,1,True,True,True,recorded_phase_boundary_only,"Please update all those contacts back to ""friend"" status.",0.8
gpt_4o_mini/expert/3/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o_mini/expert/trial_3_results.json,34,gpt_4o_mini,expert,3,heldout,2,True,True,True,recorded_phase_boundary_only,"Please update Fredrik Thordendal and John Petrucci back to ""friend"" status in my contact book.",1.0
gpt_4o_mini/expert/4/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o_mini/expert/trial_4_results.json,34,gpt_4o_mini,expert,4,heldout,1,True,True,True,recorded_phase_boundary_only,"Please update all those contacts back to ""friend"" status.",0.8
gpt_4o_mini/expert/5/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o_mini/expert/trial_5_results.json,34,gpt_4o_mini,expert,5,heldout,1,True,True,True,recorded_phase_boundary_only,"Please update all of my contacts who are now marked as ""enemy"" back to ""friend"" status.",0.8
gpt_4o_mini/expert/6/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o_mini/expert/trial_6_results.json,34,gpt_4o_mini,expert,6,heldout,1,True,True,True,recorded_phase_boundary_only,"Please update all of my contacts that were changed to ""enemy"" status back to ""friend"" status.",0.8
gpt_4o_mini/expert/7/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o_mini/expert/trial_7_results.json,34,gpt_4o_mini,expert,7,heldout,1,True,True,True,recorded_phase_boundary_only,"Please update all those contacts back to ""friend"" status.",0.8
gpt_4o_mini/nonexpert/0/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o_mini/nonexpert/trial_0_results.json,34,gpt_4o_mini,nonexpert,0,dev,1,True,True,True,recorded_phase_boundary_only,"Oh, uh, can you switch them back to friends now? Sorry, I keep changing my mind.",0.8
gpt_4o_mini/nonexpert/1/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o_mini/nonexpert/trial_1_results.json,34,gpt_4o_mini,nonexpert,1,dev,1,True,True,True,recorded_phase_boundary_only,"Oh, cool. Uh, can you switch them back to friends now? Thanks.",0.8
gpt_4o_mini/nonexpert/2/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o_mini/nonexpert/trial_2_results.json,34,gpt_4o_mini,nonexpert,2,heldout,1,True,True,True,recorded_phase_boundary_only,"Oh, uh, can you switch them back to friends now? I think I want them as friends again.",0.8
gpt_4o_mini/nonexpert/3/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o_mini/nonexpert/trial_3_results.json,34,gpt_4o_mini,nonexpert,3,heldout,1,True,True,True,recorded_phase_boundary_only,"Oh, uh, can you switch them back to friends now? Thanks.",0.8
gpt_4o_mini/nonexpert/4/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o_mini/nonexpert/trial_4_results.json,34,gpt_4o_mini,nonexpert,4,heldout,1,True,True,True,recorded_phase_boundary_only,"Oh, cool. Can you switch them back to friends now? Thanks.",0.8
gpt_4o_mini/nonexpert/5/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o_mini/nonexpert/trial_5_results.json,34,gpt_4o_mini,nonexpert,5,heldout,1,True,True,True,recorded_phase_boundary_only,"Oh, uh, can you switch them back to friends now? Thanks.",0.8
gpt_4o_mini/nonexpert/6/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o_mini/nonexpert/trial_6_results.json,34,gpt_4o_mini,nonexpert,6,heldout,1,True,True,True,recorded_phase_boundary_only,"Oh, actually, can you switch them back to being my friends again? Sorry, I keep changing my mind.",0.8
gpt_4o_mini/nonexpert/7/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o_mini/nonexpert/trial_7_results.json,34,gpt_4o_mini,nonexpert,7,heldout,1,True,True,True,recorded_phase_boundary_only,"Oh, actually, can you switch them back to being my friends again? Sorry, I keep changing my mind.",0.8
gpt_5/expert/0/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_5/expert/trial_0_results.json,34,gpt_5,expert,0,dev,1,True,True,True,recorded_phase_boundary_only,"Please update those contacts back to ""friend"" status.",1.0
gpt_5/expert/1/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_5/expert/trial_1_results.json,34,gpt_5,expert,1,dev,1,True,True,True,recorded_phase_boundary_only,"Please update all of my contacts that are now marked as ""enemy"" back to ""friend"" status.",1.0
gpt_5/expert/2/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_5/expert/trial_2_results.json,34,gpt_5,expert,2,heldout,1,True,True,True,recorded_phase_boundary_only,"Please update their status back to ""friend.""",1.0
gpt_5/expert/3/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_5/expert/trial_3_results.json,34,gpt_5,expert,3,heldout,1,True,True,True,recorded_phase_boundary_only,"Please update those contacts back to ""friend"" status.",1.0
gpt_5/expert/4/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_5/expert/trial_4_results.json,34,gpt_5,expert,4,heldout,2,True,True,True,recorded_phase_boundary_only,"Please update those contacts back to ""friend"" status.",1.0
gpt_5/expert/5/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_5/expert/trial_5_results.json,34,gpt_5,expert,5,heldout,1,True,True,True,recorded_phase_boundary_only,"Yes, please revert their status back to ""friend.""",1.0
gpt_5/expert/6/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_5/expert/trial_6_results.json,34,gpt_5,expert,6,heldout,1,True,True,True,recorded_phase_boundary_only,"Please update all ""enemy"" contacts back to ""friend"" status.",1.0
gpt_5/expert/7/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_5/expert/trial_7_results.json,34,gpt_5,expert,7,heldout,1,True,True,True,recorded_phase_boundary_only,"Please update those contacts back to ""friend"" status.",1.0
gpt_5/nonexpert/0/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_5/nonexpert/trial_0_results.json,34,gpt_5,nonexpert,0,dev,1,True,True,True,recorded_phase_boundary_only,"Oh, uh, can you just switch them back to being friends again? Thanks.",1.0
gpt_5/nonexpert/1/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_5/nonexpert/trial_1_results.json,34,gpt_5,nonexpert,1,dev,2,True,True,True,recorded_phase_boundary_only,"Oh, uh, can you just switch them back to friends now? Thanks.",1.0
gpt_5/nonexpert/2/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_5/nonexpert/trial_2_results.json,34,gpt_5,nonexpert,2,heldout,2,True,True,True,recorded_phase_boundary_only,"Oh, cool. Can you just switch them back to friends now? Thanks.",1.0
gpt_5/nonexpert/3/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_5/nonexpert/trial_3_results.json,34,gpt_5,nonexpert,3,heldout,2,True,True,True,recorded_phase_boundary_only,"Oh, uh, can you switch them back to being friends now? Sorry, I keep changing my mind.",1.0
gpt_5/nonexpert/4/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_5/nonexpert/trial_4_results.json,34,gpt_5,nonexpert,4,heldout,3,True,True,True,recorded_phase_boundary_only,"Oh, uh, can you just switch them back to friends now? I think I want them as friends again.",1.0
gpt_5/nonexpert/5/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_5/nonexpert/trial_5_results.json,34,gpt_5,nonexpert,5,heldout,1,True,True,True,recorded_phase_boundary_only,"Uh, yeah, can you just put them back as friends now? Thanks.",1.0
gpt_5/nonexpert/6/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_5/nonexpert/trial_6_results.json,34,gpt_5,nonexpert,6,heldout,1,True,True,True,recorded_phase_boundary_only,"Uh, cool, thanks. Can you just switch them all back to friends now? I don’t need anything fancy, just put them back how they were.",0.8
gpt_5/nonexpert/7/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_5/nonexpert/trial_7_results.json,34,gpt_5,nonexpert,7,heldout,1,True,True,True,recorded_phase_boundary_only,"Oh, uh, can you just switch them back to friends now? Thanks.",1.0
mistral_large_2411/expert/0/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_large_2411/expert/trial_0_results.json,34,mistral_large_2411,expert,0,dev,4,True,True,True,recorded_phase_boundary_only,"Please update Fredrik Thordendal and John Petrucci back to ""Friend"" status in my contact book.",1.0
mistral_large_2411/expert/1/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_large_2411/expert/trial_1_results.json,34,mistral_large_2411,expert,1,dev,1,True,True,True,recorded_phase_boundary_only,"Please update all of them back to ""friend"" status.",0.8
mistral_large_2411/expert/2/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_large_2411/expert/trial_2_results.json,34,mistral_large_2411,expert,2,heldout,1,False,True,False,recorded_phase_boundary_only,"Please update all those contacts back to ""friend"" status.",0.6
mistral_large_2411/expert/3/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_large_2411/expert/trial_3_results.json,34,mistral_large_2411,expert,3,heldout,1,False,True,False,recorded_phase_boundary_only,"Please update all of them back to ""friend"" status.",0.6
mistral_large_2411/expert/4/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_large_2411/expert/trial_4_results.json,34,mistral_large_2411,expert,4,heldout,1,,,,recorded_phase_boundary_only,"Please update all those contacts back to ""friend"" status.",0.2
mistral_large_2411/expert/5/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_large_2411/expert/trial_5_results.json,34,mistral_large_2411,expert,5,heldout,3,True,True,True,recorded_phase_boundary_only,"Please update all contacts that were changed to ""enemy"" status back to ""friend"" status. Let me know once this is complete.",0.8
mistral_large_2411/expert/6/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_large_2411/expert/trial_6_results.json,34,mistral_large_2411,expert,6,heldout,1,True,True,True,recorded_phase_boundary_only,"Please update all ""enemy"" contacts in my contact book back to ""friend"" status.",0.8
mistral_large_2411/expert/7/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_large_2411/expert/trial_7_results.json,34,mistral_large_2411,expert,7,heldout,1,True,True,True,recorded_phase_boundary_only,"Please update all of them back to ""friend"" status.",0.8
mistral_large_2411/nonexpert/0/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_large_2411/nonexpert/trial_0_results.json,34,mistral_large_2411,nonexpert,0,dev,2,True,True,True,recorded_phase_boundary_only,"Oh, cool, thanks. Can you, uh, switch them back to friends now? I think I want it how it was before.",0.8
mistral_large_2411/nonexpert/1/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_large_2411/nonexpert/trial_1_results.json,34,mistral_large_2411,nonexpert,1,dev,1,True,True,True,recorded_phase_boundary_only,"Uh, cool, thanks. Can you, like, switch them back to friends now? I think I want them as friends again.",0.8
mistral_large_2411/nonexpert/2/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_large_2411/nonexpert/trial_2_results.json,34,mistral_large_2411,nonexpert,2,heldout,1,False,True,False,recorded_phase_boundary_only,"Uh, cool, thanks. Can you, like, switch them back to friends now? I think that’s what I want.",0.6
mistral_large_2411/nonexpert/3/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_large_2411/nonexpert/trial_3_results.json,34,mistral_large_2411,nonexpert,3,heldout,2,True,True,True,recorded_phase_boundary_only,"Oh, cool, thanks. Uh, can you just switch them back to friends now? Sorry, I keep changing my mind.",0.8
mistral_large_2411/nonexpert/4/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_large_2411/nonexpert/trial_4_results.json,34,mistral_large_2411,nonexpert,4,heldout,1,True,False,False,recorded_phase_boundary_only,"Uh, cool, thanks. Can you switch them back to friends now?",0.6
mistral_large_2411/nonexpert/5/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_large_2411/nonexpert/trial_5_results.json,34,mistral_large_2411,nonexpert,5,heldout,1,True,True,True,recorded_phase_boundary_only,"Uh, actually, can you switch them back to being my friends again? Sorry, I keep changing my mind.",0.8
mistral_large_2411/nonexpert/6/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_large_2411/nonexpert/trial_6_results.json,34,mistral_large_2411,nonexpert,6,heldout,1,True,True,True,recorded_phase_boundary_only,"Oh, uh, can you switch them back to being my friends now? Thanks.",1.0
mistral_large_2411/nonexpert/7/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_large_2411/nonexpert/trial_7_results.json,34,mistral_large_2411,nonexpert,7,heldout,1,True,True,True,recorded_phase_boundary_only,"Oh, uh, can you switch them back to being my friends again? Sorry, I keep changing my mind.",0.8
mistral_nemo/expert/0/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_nemo/expert/trial_0_results.json,34,mistral_nemo,expert,0,dev,3,True,True,True,recorded_phase_boundary_only,"Thank you for updating those contacts. Please now update Fredrik Thordendal and John Petrucci back to ""friend"" status. If there are any other contacts that were changed to ""enemy,"" please revert them to ""friend"" as well.",1.0
mistral_nemo/expert/1/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_nemo/expert/trial_1_results.json,34,mistral_nemo,expert,1,dev,4,False,True,False,recorded_phase_boundary_only,"Please update all contacts currently marked as ""enemy"" in my contact book back to ""friend"" status.",0.4
mistral_nemo/expert/2/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_nemo/expert/trial_2_results.json,34,mistral_nemo,expert,2,heldout,2,True,True,True,recorded_phase_boundary_only,"Please update all of my contacts who are currently marked as ""enemy"" back to ""friend"" status.",0.8
mistral_nemo/expert/3/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_nemo/expert/trial_3_results.json,34,mistral_nemo,expert,3,heldout,3,False,True,False,recorded_phase_boundary_only,"Now, please update all those contacts back to ""friend"" status.",0.0
mistral_nemo/expert/4/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_nemo/expert/trial_4_results.json,34,mistral_nemo,expert,4,heldout,2,True,True,True,recorded_phase_boundary_only,"Now, please update all those contacts back to ""friend"" status.",0.8
mistral_nemo/expert/5/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_nemo/expert/trial_5_results.json,34,mistral_nemo,expert,5,heldout,2,,True,,recorded_phase_boundary_only,"Please update the status of Fredrik Thordendal and John Petrucci back to ""friend"" in my contact book.",0.6
mistral_nemo/expert/6/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_nemo/expert/trial_6_results.json,34,mistral_nemo,expert,6,heldout,2,True,True,True,recorded_phase_boundary_only,"Please update all of my contacts who are now marked as ""enemy"" back to ""friend"" status.",0.8
mistral_nemo/expert/7/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_nemo/expert/trial_7_results.json,34,mistral_nemo,expert,7,heldout,6,,,,recorded_phase_boundary_only,"Thank you for confirming. Now, please update the status of those contacts back from ""enemy"" to ""friend.""",0.0
mistral_nemo/nonexpert/0/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_nemo/nonexpert/trial_0_results.json,34,mistral_nemo,nonexpert,0,dev,4,True,True,True,recorded_phase_boundary_only,"Oh cool, thanks. Um, can you switch them back to friends now? I think that’s all I need.",0.8
mistral_nemo/nonexpert/1/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_nemo/nonexpert/trial_1_results.json,34,mistral_nemo,nonexpert,1,dev,2,True,True,True,recorded_phase_boundary_only,"Oh, cool, thanks. Can you switch them back to friends now? I think I want them as friends again.",0.8
mistral_nemo/nonexpert/2/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_nemo/nonexpert/trial_2_results.json,34,mistral_nemo,nonexpert,2,heldout,,,,,no_explicit_back_to_friend_user_boundary,,0.2
mistral_nemo/nonexpert/3/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_nemo/nonexpert/trial_3_results.json,34,mistral_nemo,nonexpert,3,heldout,1,False,False,False,recorded_phase_boundary_only,"Oh, uh, okay. I’m not sure what that means. Can you just try again or something? I just want all my friends to be enemies in my contacts.",0.8
mistral_nemo/nonexpert/4/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_nemo/nonexpert/trial_4_results.json,34,mistral_nemo,nonexpert,4,heldout,2,True,True,True,recorded_phase_boundary_only,"Oh, cool. Can you just switch them back to friends now? Thanks.",0.8
mistral_nemo/nonexpert/5/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_nemo/nonexpert/trial_5_results.json,34,mistral_nemo,nonexpert,5,heldout,4,True,True,True,recorded_phase_boundary_only,"Oh, actually, can you switch them all back to friends now? Sorry, I keep changing my mind.",0.8
mistral_nemo/nonexpert/6/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_nemo/nonexpert/trial_6_results.json,34,mistral_nemo,nonexpert,6,heldout,2,,True,,recorded_phase_boundary_only,"Um, okay, can you just switch them back to friends now? I guess just do whatever you did before, but make them friends again.",0.4
mistral_nemo/nonexpert/7/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/mistral_nemo/nonexpert/trial_7_results.json,34,mistral_nemo,nonexpert,7,heldout,4,False,False,False,recorded_phase_boundary_only,"Oh, uh, can you switch them back to being my friends now? Thanks.",0.8
