name,factory,candidate_class,initial_request,source_path,literal_name_line,milestones,minefields,explicit_state_constraints,automatic_guardrails,setting_is_prerequisite,independent_human_review
find_days_till_holiday,named_multiple_tool_call_scenarios,information_only,How many days is it till Christmas Day,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,1716,4,0,0,12,False,False
find_days_till_holiday_alt,named_multiple_tool_call_scenarios,information_only,I need a break. How far are we from Christmas Day?,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,1900,4,0,0,12,False,False
find_days_till_holiday_wifi_off,named_multiple_tool_call_scenarios,information_with_transient_prerequisites,How many days is it till Christmas Day,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,2084,5,0,1,15,True,False
find_days_till_holiday_wifi_off_alt,named_multiple_tool_call_scenarios,information_with_transient_prerequisites,I need a break. How far are we from Christmas Day?,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,2287,5,0,1,15,True,False
find_distance_with_location_name,named_multiple_tool_call_scenarios,information_only,How far am I from the Golden Gate Bridge,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,3861,3,0,0,8,False,False
find_distance_with_location_name_alt,named_multiple_tool_call_scenarios,information_only,How many km to Golden Gate Bridge?,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,3972,3,0,0,8,False,False
find_stock_symbol_with_company_name_low_battery_mode,named_multiple_tool_call_scenarios,information_with_transient_prerequisites,What's the stock symbol for Apple? Resolve any issue alone,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,3336,4,0,2,10,True,False
find_stock_symbol_with_company_name_low_battery_mode_alt,named_multiple_tool_call_scenarios,information_with_transient_prerequisites,Find the code for Apple stock. Resolve any issue alone,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,3446,4,0,2,10,True,False
find_temperature_f_with_location,named_multiple_tool_call_scenarios,information_only,What's the temperature in Grand Canyon in Fahrenheit,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,2492,3,0,0,8,False,False
find_temperature_f_with_location_alt,named_multiple_tool_call_scenarios,information_only,Current temp Grand Canyon. I can't read Celsius.,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,2629,3,0,0,8,False,False
find_temperature_f_with_location_wifi_off,named_multiple_tool_call_scenarios,information_with_transient_prerequisites,What's the temperature in Grand Canyon in Fahrenheit,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,2766,4,0,1,11,True,False
find_temperature_f_with_location_wifi_off_alt,named_multiple_tool_call_scenarios,information_with_transient_prerequisites,Current temp Grand Canyon. I can't read Celsius.,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,2921,4,0,1,11,True,False
find_temperature_low_battery_mode,named_multiple_tool_call_scenarios,information_with_transient_prerequisites,What's the temperature right now? Resolve any issue alone,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,3076,5,0,3,16,True,False
find_temperature_low_battery_mode_alt,named_multiple_tool_call_scenarios,information_with_transient_prerequisites,Temperature now. Resolve any issue alone,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,3206,5,0,3,16,True,False
modify_contact_with_message_recency,named_multiple_tool_call_scenarios,terminal_effect_candidate,Update the phone number of the last person I sent a message to to +10293847563,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,390,5,0,1,13,False,False
modify_contact_with_message_recency_alt,named_multiple_tool_call_scenarios,terminal_effect_candidate,"Find whoever I contacted last, change his cell to +10293847563.",tool_sandbox/scenarios/multiple_tool_call_scenarios.py,516,5,0,1,13,False,False
modify_reminder_with_recency_latest,named_multiple_tool_call_scenarios,terminal_effect_candidate,Postpone my most recent reminder to tomorrow 5PM.,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,5340,3,0,1,6,False,False
modify_reminder_with_recency_latest_alt,named_multiple_tool_call_scenarios,terminal_effect_candidate,Push my upcoming reminder to tomorrow 5PM.,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,5437,3,0,1,6,False,False
remove_contact_by_phone,named_multiple_tool_call_scenarios,terminal_effect_candidate,Remove phone number +12453344098 from my contact,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,642,3,0,1,6,False,False
remove_contact_by_phone_alt,named_multiple_tool_call_scenarios,terminal_effect_candidate,"The guy at +12453344098, I feel like we don't talk much anymore. Get him out of my contacts.",tool_sandbox/scenarios/multiple_tool_call_scenarios.py,718,3,0,1,6,False,False
remove_contact_by_phone_ambiguous,named_multiple_tool_call_scenarios,terminal_effect_candidate,Remove +12453344098 from my contact,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,795,3,0,1,6,False,False
remove_contact_by_phone_ambiguous_alt,named_multiple_tool_call_scenarios,terminal_effect_candidate,Get rid of +12453344098,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,871,3,0,1,6,False,False
remove_reminder_with_recency_latest,named_multiple_tool_call_scenarios,terminal_effect_candidate,Remove my upcoming reminder.,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,5534,3,0,1,6,False,False
remove_reminder_with_recency_latest_alt,named_multiple_tool_call_scenarios,terminal_effect_candidate,Get rid of my next reminder.,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,5625,3,0,1,6,False,False
search_message_with_recency_latest,named_multiple_tool_call_scenarios,information_only,What does my most recent message say?,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,62,2,0,0,4,False,False
search_message_with_recency_latest_alt,named_multiple_tool_call_scenarios,information_only,What does my latest text say?,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,134,2,0,0,4,False,False
search_message_with_recency_oldest,named_multiple_tool_call_scenarios,information_only,What does my oldest message say?,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,206,3,0,0,8,False,False
search_message_with_recency_oldest_alt,named_multiple_tool_call_scenarios,information_only,What's the first ever text I have?,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,298,3,0,0,8,False,False
search_reminder_with_creation_recency_yesterday,named_multiple_tool_call_scenarios,information_only,What's the reminder I created yesterday?,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,4505,3,0,0,8,False,False
search_reminder_with_creation_recency_yesterday_implicit,named_multiple_tool_call_scenarios,information_only,What's the todo item I made yesterday?,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,4605,3,0,0,8,False,False
search_reminder_with_recency_upcoming,named_multiple_tool_call_scenarios,information_only,What's my upcoming reminder,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,4083,3,0,0,8,False,False
search_reminder_with_recency_upcoming_implicit,named_multiple_tool_call_scenarios,information_only,What's on my todo later?,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,4195,3,0,0,8,False,False
search_reminder_with_recency_yesterday,named_multiple_tool_call_scenarios,information_only,What's on my reminder yesterday?,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,4307,3,0,0,8,False,False
search_reminder_with_recency_yesterday_implicit,named_multiple_tool_call_scenarios,information_only,What's my todo yesterday?,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,4406,3,0,0,8,False,False
send_message_with_contact_content_cellular_off,named_multiple_tool_call_scenarios,terminal_effect_candidate,"Send a message to Fredrik Thordendal saying: ""How's the new album coming along."" Resolve any issue alone.",tool_sandbox/scenarios/multiple_tool_call_scenarios.py,1356,4,0,2,7,True,False
send_message_with_contact_content_cellular_off_alt,named_multiple_tool_call_scenarios,terminal_effect_candidate,Ask Fredrik Thordendal How's the new album coming along.,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,1453,4,0,2,7,True,False
turn_on_cellular_low_battery_mode,named_multiple_tool_call_scenarios,terminal_setting_candidate,Turn on cellular,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,1083,3,0,2,6,False,False
turn_on_cellular_low_battery_mode_implicit,named_multiple_tool_call_scenarios,terminal_setting_candidate,I don't have cellphone signal. Can you get it on?,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,1151,3,0,2,6,False,False
turn_on_location_low_battery_mode,named_multiple_tool_call_scenarios,terminal_setting_candidate,Turn on location service,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,1219,3,0,2,6,False,False
turn_on_location_low_battery_mode_implicit,named_multiple_tool_call_scenarios,terminal_setting_candidate,I can't access my current location. Can you help me fix that in settings?,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,1287,3,0,2,6,False,False
turn_on_wifi_low_battery_mode,named_multiple_tool_call_scenarios,terminal_setting_candidate,Turn on wifi,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,947,3,0,2,6,False,False
turn_on_wifi_low_battery_mode_implicit,named_multiple_tool_call_scenarios,terminal_setting_candidate,Get me connected to the internet.,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,1015,3,0,2,6,False,False
update_contact_relationship_with_relationship,named_multiple_tool_call_scenarios,terminal_effect_candidate,Make all of my friends my enemy,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,1549,3,0,1,6,False,False
update_contact_relationship_with_relationship_alt,named_multiple_tool_call_scenarios,terminal_effect_candidate,Turn all my friends in my contact book my enemy,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,1640,2,0,1,3,False,False
add_reminder_content_and_date_and_time_multiple_user_turn,named_multiple_user_turn_scenarios,terminal_effect_candidate,Remind me to buy chocolate milk,tool_sandbox/scenarios/multiple_user_turn_scenarios.py,2367,2,0,1,3,False,False
add_reminder_content_and_date_and_time_multiple_user_turn_alt,named_multiple_user_turn_scenarios,terminal_effect_candidate,Add a reminder at 3/22/2024 5PM,tool_sandbox/scenarios/multiple_user_turn_scenarios.py,2433,2,0,1,3,False,False
add_reminder_content_and_week_delta_and_time_and_location_low_battery_mode_multiple_user_turn_alt,named_multiple_user_turn_scenarios,terminal_effect_candidate,Add a reminder to buy chocolate milk at Whole Foods.,tool_sandbox/scenarios/multiple_user_turn_scenarios.py,3002,5,0,3,12,True,False
add_reminder_content_and_week_delta_and_time_and_location_multiple_user_turn,named_multiple_user_turn_scenarios,terminal_effect_candidate,Remind me to buy chocolate milk at Whole Foods on Stevens Creek.,tool_sandbox/scenarios/multiple_user_turn_scenarios.py,2788,3,0,1,6,False,False
add_reminder_content_and_week_delta_and_time_and_location_multiple_user_turn_alt,named_multiple_user_turn_scenarios,terminal_effect_candidate,Add a reminder to buy chocolate milk tomorrow 5PM at Whole Foods.,tool_sandbox/scenarios/multiple_user_turn_scenarios.py,2895,3,0,1,6,False,False
add_reminder_content_and_week_delta_and_time_multiple_user_turn,named_multiple_user_turn_scenarios,terminal_effect_candidate,Remind me to buy chocolate milk,tool_sandbox/scenarios/multiple_user_turn_scenarios.py,2500,2,0,1,3,False,False
add_reminder_content_and_week_delta_and_time_multiple_user_turn_alt,named_multiple_user_turn_scenarios,terminal_effect_candidate,Add a reminder for tomorrow 5PM,tool_sandbox/scenarios/multiple_user_turn_scenarios.py,2569,2,0,1,3,False,False
add_reminder_content_and_weekday_delta_and_time_multiple_user_turn,named_multiple_user_turn_scenarios,terminal_effect_candidate,Remind me to buy chocolate milk,tool_sandbox/scenarios/multiple_user_turn_scenarios.py,2638,2,0,1,3,False,False
add_reminder_content_and_weekday_delta_and_time_multiple_user_turn_alt,named_multiple_user_turn_scenarios,terminal_effect_candidate,Add a reminder next Friday 5PM,tool_sandbox/scenarios/multiple_user_turn_scenarios.py,2713,2,0,1,3,False,False
find_days_till_holiday_multiple_user_turn,named_multiple_user_turn_scenarios,information_only,When's Christmas Day?,tool_sandbox/scenarios/multiple_user_turn_scenarios.py,1242,4,0,0,12,False,False
find_days_till_holiday_wifi_off_multiple_user_turn,named_multiple_user_turn_scenarios,information_with_transient_prerequisites,Christmas Day when?,tool_sandbox/scenarios/multiple_user_turn_scenarios.py,1426,5,0,1,15,True,False
find_distance_with_location_name_low_battery_mode_multiple_user_turn,named_multiple_user_turn_scenarios,information_with_transient_prerequisites,Where's the Golden Gate Bridge,tool_sandbox/scenarios/multiple_user_turn_scenarios.py,2219,5,0,2,14,True,False
find_distance_with_location_name_multiple_user_turn,named_multiple_user_turn_scenarios,information_only,Where's the Golden Gate Bridge,tool_sandbox/scenarios/multiple_user_turn_scenarios.py,2108,3,0,0,8,False,False
find_temperature_f_with_location_and_time_diff_low_battery_mode_multiple_user_turn,named_multiple_user_turn_scenarios,information_with_transient_prerequisites,What's the lowest temperature in Grand Canyon today,tool_sandbox/scenarios/multiple_user_turn_scenarios.py,1931,5,0,2,14,True,False
find_temperature_f_with_location_and_time_diff_multiple_user_turn,named_multiple_user_turn_scenarios,information_only,What's the lowest temperature in Grand Canyon today,tool_sandbox/scenarios/multiple_user_turn_scenarios.py,1629,3,0,0,8,False,False
find_temperature_f_with_location_and_time_diff_wifi_off_multiple_user_turn,named_multiple_user_turn_scenarios,information_with_transient_prerequisites,What's the lowest temperature in Grand Canyon today,tool_sandbox/scenarios/multiple_user_turn_scenarios.py,1771,4,0,1,11,True,False
modify_contact_with_message_recency_multiple_user_turn,named_multiple_user_turn_scenarios,terminal_effect_candidate,Who did I talk to last,tool_sandbox/scenarios/multiple_user_turn_scenarios.py,403,5,0,1,13,False,False
modify_contact_with_message_recency_multiple_user_turn_alt,named_multiple_user_turn_scenarios,terminal_effect_candidate,I need to change someone's phone number,tool_sandbox/scenarios/multiple_user_turn_scenarios.py,531,5,0,1,13,False,False
remove_contact_by_phone_multiple_user_turn,named_multiple_user_turn_scenarios,terminal_effect_candidate,I want to delete someone from my contact,tool_sandbox/scenarios/multiple_user_turn_scenarios.py,659,3,0,1,6,False,False
remove_contact_by_phone_multiple_user_turn_alt,named_multiple_user_turn_scenarios,terminal_effect_candidate,Who's +12453344098 in my contact?,tool_sandbox/scenarios/multiple_user_turn_scenarios.py,737,3,0,1,6,False,False
search_message_with_recency_latest_multiple_user_turn,named_multiple_user_turn_scenarios,information_only,I wanna find a message,tool_sandbox/scenarios/multiple_user_turn_scenarios.py,65,2,0,0,4,False,False
search_message_with_recency_latest_multiple_user_turn_alt,named_multiple_user_turn_scenarios,information_only,There's a text I want to find,tool_sandbox/scenarios/multiple_user_turn_scenarios.py,139,2,0,0,4,False,False
search_message_with_recency_oldest_multiple_user_turn,named_multiple_user_turn_scenarios,information_only,I wanna find a message,tool_sandbox/scenarios/multiple_user_turn_scenarios.py,213,3,0,0,8,False,False
search_message_with_recency_oldest_multiple_user_turn_alt,named_multiple_user_turn_scenarios,information_only,There's a text I want to find,tool_sandbox/scenarios/multiple_user_turn_scenarios.py,308,3,0,0,8,False,False
send_message_with_contact_content_cellular_off_multiple_user_turn,named_multiple_user_turn_scenarios,terminal_effect_candidate,Send a message,tool_sandbox/scenarios/multiple_user_turn_scenarios.py,815,4,0,2,7,True,False
send_message_with_contact_content_cellular_off_multiple_user_turn_alt,named_multiple_user_turn_scenarios,terminal_effect_candidate,Text Fredrik Thordendal,tool_sandbox/scenarios/multiple_user_turn_scenarios.py,914,4,0,2,7,True,False
update_contact_relationship_with_relationship_multiple_user_turn,named_multiple_user_turn_scenarios,terminal_effect_candidate,Who are my friends?,tool_sandbox/scenarios/multiple_user_turn_scenarios.py,1013,3,0,1,6,False,False
update_contact_relationship_with_relationship_twice_multiple_user_turn,named_multiple_user_turn_scenarios,ordered_revised_effects,Who are my friends?,tool_sandbox/scenarios/multiple_user_turn_scenarios.py,1104,5,0,2,15,False,False
find_current_city_insufficient_information,named_insufficient_information_scenarios,insufficient_information_policy,What city am I in?,tool_sandbox/scenarios/insufficient_information_scenarios.py,43,0,1,0,0,False,False
find_current_city_low_battery_mode_insufficient_information,named_insufficient_information_scenarios,insufficient_information_policy,What city am I in?,tool_sandbox/scenarios/insufficient_information_scenarios.py,141,0,1,0,0,False,False
find_current_location_insufficient_information,named_insufficient_information_scenarios,insufficient_information_policy,Where am I,tool_sandbox/scenarios/insufficient_information_scenarios.py,92,0,1,0,0,False,False
find_current_location_low_battery_mode_insufficient_information,named_insufficient_information_scenarios,insufficient_information_policy,Where am I?,tool_sandbox/scenarios/insufficient_information_scenarios.py,194,0,1,0,0,False,False
find_days_till_holiday_insufficient_information,named_insufficient_information_scenarios,insufficient_information_policy,How many days is it till Christmas Day,tool_sandbox/scenarios/insufficient_information_scenarios.py,353,0,1,0,0,False,False
find_days_till_holiday_insufficient_information_alt,named_insufficient_information_scenarios,insufficient_information_policy,I need a break. How far are we from Christmas Day?,tool_sandbox/scenarios/insufficient_information_scenarios.py,402,0,1,0,0,False,False
find_distance_with_location_name_insufficient_information,named_insufficient_information_scenarios,insufficient_information_policy,How far am I from the Golden Gate Bridge,tool_sandbox/scenarios/insufficient_information_scenarios.py,910,0,1,0,0,False,False
find_distance_with_location_name_insufficient_information_alt,named_insufficient_information_scenarios,insufficient_information_policy,How many km to Golden Gate Bridge?,tool_sandbox/scenarios/insufficient_information_scenarios.py,959,0,1,0,0,False,False
find_min_temperature_weekday_insufficient_information,named_insufficient_information_scenarios,insufficient_information_policy,What's the lowest temperature this Friday?,tool_sandbox/scenarios/insufficient_information_scenarios.py,247,0,1,0,0,False,False
find_min_temperature_weekday_insufficient_information_alt,named_insufficient_information_scenarios,insufficient_information_policy,How cold does it get this Friday?,tool_sandbox/scenarios/insufficient_information_scenarios.py,300,0,1,0,0,False,False
find_temperature_f_with_location_insufficient_information,named_insufficient_information_scenarios,insufficient_information_policy,What's the temperature in Grand Canyon in Fahrenheit,tool_sandbox/scenarios/insufficient_information_scenarios.py,451,0,1,0,0,False,False
find_temperature_f_with_location_insufficient_information_alt,named_insufficient_information_scenarios,insufficient_information_policy,Current temp Grand Canyon. I can't read Celsius.,tool_sandbox/scenarios/insufficient_information_scenarios.py,499,0,1,0,0,False,False
modify_contact_with_message_recency_insufficient_information,named_insufficient_information_scenarios,insufficient_information_policy,Update the phone number of the last person I sent a message to to +10293847563,tool_sandbox/scenarios/insufficient_information_scenarios.py,547,0,1,0,0,False,False
modify_contact_with_message_recency_insufficient_information_alt,named_insufficient_information_scenarios,insufficient_information_policy,"Find whoever I contacted last, change his cell to +10293847563.",tool_sandbox/scenarios/insufficient_information_scenarios.py,596,0,1,0,0,False,False
modify_reminder_with_recency_latest_insufficient_information,named_insufficient_information_scenarios,insufficient_information_policy,Push my upcoming reminder to tomorrow 5PM.,tool_sandbox/scenarios/insufficient_information_scenarios.py,1512,0,1,0,0,False,False
remove_contact_by_phone_no_remove_contact_insufficient_information,named_insufficient_information_scenarios,insufficient_information_policy,Remove phone number +12453344098 from my contact,tool_sandbox/scenarios/insufficient_information_scenarios.py,645,1,0,0,0,False,False
remove_contact_by_phone_no_remove_contact_insufficient_information_alt,named_insufficient_information_scenarios,insufficient_information_policy,"The guy at +12453344098, I feel like we don't talk much anymore. Get him out of my contacts.",tool_sandbox/scenarios/insufficient_information_scenarios.py,686,1,0,0,0,False,False
remove_contact_by_phone_no_search_contacts_insufficient_information,named_insufficient_information_scenarios,insufficient_information_policy,Remove phone number +12453344098 from my contact,tool_sandbox/scenarios/insufficient_information_scenarios.py,728,0,1,0,0,False,False
remove_contact_by_phone_no_search_contacts_insufficient_information_alt,named_insufficient_information_scenarios,insufficient_information_policy,"The guy at +12453344098, I feel like we don't talk much anymore. Get him out of my contacts.",tool_sandbox/scenarios/insufficient_information_scenarios.py,770,0,1,0,0,False,False
remove_reminder_with_recency_latest_insufficient_information,named_insufficient_information_scenarios,insufficient_information_policy,Remove my upcoming reminder.,tool_sandbox/scenarios/insufficient_information_scenarios.py,1571,0,1,0,0,False,False
search_reminder_with_creation_recency_yesterday_insufficient_information,named_insufficient_information_scenarios,insufficient_information_policy,What's the reminder I created yesterday?,tool_sandbox/scenarios/insufficient_information_scenarios.py,1344,0,1,0,0,False,False
search_reminder_with_creation_recency_yesterday_insufficient_information_implicit,named_insufficient_information_scenarios,insufficient_information_policy,What's the todo item I made yesterday?,tool_sandbox/scenarios/insufficient_information_scenarios.py,1428,0,1,0,0,False,False
search_reminder_with_recency_upcoming_insufficient_information,named_insufficient_information_scenarios,insufficient_information_policy,What's my upcoming reminder,tool_sandbox/scenarios/insufficient_information_scenarios.py,1008,0,1,0,0,False,False
search_reminder_with_recency_upcoming_insufficient_information_implicit,named_insufficient_information_scenarios,insufficient_information_policy,What's on my todo later?,tool_sandbox/scenarios/insufficient_information_scenarios.py,1092,0,1,0,0,False,False
search_reminder_with_recency_yesterday_insufficient_information,named_insufficient_information_scenarios,insufficient_information_policy,What's on my reminder yesterday?,tool_sandbox/scenarios/insufficient_information_scenarios.py,1176,0,1,0,0,False,False
search_reminder_with_recency_yesterday_insufficient_information_implicit,named_insufficient_information_scenarios,insufficient_information_policy,What's my todo yesterday?,tool_sandbox/scenarios/insufficient_information_scenarios.py,1260,0,1,0,0,False,False
send_message_with_contact_content_cellular_off_insufficient_information,named_insufficient_information_scenarios,insufficient_information_policy,"Send a message to Fredrik Thordendal saying: ""How's the new album coming along."" Resolve any issue alone.",tool_sandbox/scenarios/insufficient_information_scenarios.py,813,0,1,0,0,False,False
send_message_with_contact_content_cellular_off_insufficient_information_alt,named_insufficient_information_scenarios,insufficient_information_policy,Ask Fredrik Thordendal How's the new album coming along.,tool_sandbox/scenarios/insufficient_information_scenarios.py,862,0,1,0,0,False,False
