key,source,sample_index,sample_id,model,persona,trial,split,namespace,target_id,structural_issues,state_issues,clock_reason,clock_offset,target_epochs,content_final,time_final,effect_final,effect_ever_true,observed_regression,ever_true_final_false,initial_preserved_final,initial_preservation_ever_false,new_object_count,source_status,source_progress,source_full,source_full_effect_false_candidate,effect_history,calls,review_class,conservative_conflict
mistral_large_2411/nonexpert/0/add_reminder_content_and_weekday_delta_and_time,toolsandbox/mistral_large_2411/nonexpert/trial_0_results.json,3,add_reminder_content_and_weekday_delta_and_time,mistral_large_2411,nonexpert,0,dev,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false]",3,CALENDAR_EFFECT_CONFLICT,True
mistral_large_2411/nonexpert/1/add_reminder_content_and_week_delta_and_time,toolsandbox/mistral_large_2411/nonexpert/trial_1_results.json,2,add_reminder_content_and_week_delta_and_time,mistral_large_2411,nonexpert,1,dev,REMINDER,,,,receipt_clock_mapping,28800,[1758272400.0],False,,False,False,False,False,True,False,0,success,1.0,True,True,"[false, false, false, false, false, false]",3,NO_COMMIT_EXECUTOR_SYNTAX_ERROR,True
mistral_nemo/expert/0/add_reminder_content_and_week_delta_and_time,toolsandbox/mistral_nemo/expert/trial_0_results.json,2,add_reminder_content_and_week_delta_and_time,mistral_nemo,expert,0,dev,REMINDER,,,,receipt_clock_mapping,28800,[1758358800.0],True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false]",4,CALENDAR_EFFECT_CONFLICT,True
mistral_nemo/nonexpert/1/add_reminder_content_and_week_delta_and_time,toolsandbox/mistral_nemo/nonexpert/trial_1_results.json,2,add_reminder_content_and_week_delta_and_time,mistral_nemo,nonexpert,1,dev,REMINDER,,,,receipt_clock_mapping,28800,[1758358800.0],True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false, false, false, false]",5,CALENDAR_EFFECT_CONFLICT,True
gpt_4_1/nonexpert/3/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4_1/nonexpert/trial_3_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4_1,nonexpert,3,later,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false, false, false]",4,CALENDAR_EFFECT_CONFLICT,True
gpt_4o/expert/2/add_reminder_content_and_week_delta_and_time,toolsandbox/gpt_4o/expert/trial_2_results.json,2,add_reminder_content_and_week_delta_and_time,gpt_4o,expert,2,later,REMINDER,,,,receipt_clock_mapping,28800,[1758099600.0],True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false]",3,CALENDAR_EFFECT_CONFLICT,True
gpt_4o/expert/2/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4o/expert/trial_2_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4o,expert,2,later,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false]",4,CALENDAR_EFFECT_CONFLICT,True
gpt_4o/expert/3/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4o/expert/trial_3_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4o,expert,3,later,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false]",4,CALENDAR_EFFECT_CONFLICT,True
gpt_4o/expert/4/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4o/expert/trial_4_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4o,expert,4,later,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false]",4,CALENDAR_EFFECT_CONFLICT,True
gpt_4o/expert/5/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4o/expert/trial_5_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4o,expert,5,later,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false]",4,CALENDAR_EFFECT_CONFLICT,True
gpt_4o/expert/6/add_reminder_content_and_week_delta_and_time,toolsandbox/gpt_4o/expert/trial_6_results.json,2,add_reminder_content_and_week_delta_and_time,gpt_4o,expert,6,later,REMINDER,,,,receipt_clock_mapping,28800,[1758099600.0],True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false]",3,CALENDAR_EFFECT_CONFLICT,True
gpt_4o/expert/6/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4o/expert/trial_6_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4o,expert,6,later,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false]",4,CALENDAR_EFFECT_CONFLICT,True
gpt_4o/expert/7/add_reminder_content_and_week_delta_and_time,toolsandbox/gpt_4o/expert/trial_7_results.json,2,add_reminder_content_and_week_delta_and_time,gpt_4o,expert,7,later,REMINDER,,,,receipt_clock_mapping,28800,[1758099600.0],True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false]",3,CALENDAR_EFFECT_CONFLICT,True
gpt_4o/expert/7/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4o/expert/trial_7_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4o,expert,7,later,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false]",4,CALENDAR_EFFECT_CONFLICT,True
gpt_4o/nonexpert/2/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4o/nonexpert/trial_2_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4o,nonexpert,2,later,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false]",3,CALENDAR_EFFECT_CONFLICT,True
gpt_4o/nonexpert/3/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4o/nonexpert/trial_3_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4o,nonexpert,3,later,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false, false, false, false, false, false]",7,CALENDAR_EFFECT_CONFLICT,True
gpt_4o/nonexpert/4/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4o/nonexpert/trial_4_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4o,nonexpert,4,later,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false, false]",4,CALENDAR_EFFECT_CONFLICT,True
gpt_4o/nonexpert/5/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4o/nonexpert/trial_5_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4o,nonexpert,5,later,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false, false]",3,CALENDAR_EFFECT_CONFLICT,True
gpt_4o/nonexpert/7/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4o/nonexpert/trial_7_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4o,nonexpert,7,later,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false, false, false, false, false, false]",7,CALENDAR_EFFECT_CONFLICT,True
gpt_4o_mini/expert/2/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4o_mini/expert/trial_2_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4o_mini,expert,2,later,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false]",4,CALENDAR_EFFECT_CONFLICT,True
gpt_4o_mini/expert/3/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4o_mini/expert/trial_3_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4o_mini,expert,3,later,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false]",4,CALENDAR_EFFECT_CONFLICT,True
gpt_4o_mini/expert/4/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4o_mini/expert/trial_4_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4o_mini,expert,4,later,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false]",4,CALENDAR_EFFECT_CONFLICT,True
gpt_4o_mini/expert/5/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4o_mini/expert/trial_5_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4o_mini,expert,5,later,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false]",4,CALENDAR_EFFECT_CONFLICT,True
gpt_4o_mini/expert/6/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4o_mini/expert/trial_6_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4o_mini,expert,6,later,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false]",4,CALENDAR_EFFECT_CONFLICT,True
gpt_4o_mini/expert/7/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4o_mini/expert/trial_7_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4o_mini,expert,7,later,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false]",4,CALENDAR_EFFECT_CONFLICT,True
gpt_4o_mini/nonexpert/2/add_reminder_content_and_week_delta_and_time,toolsandbox/gpt_4o_mini/nonexpert/trial_2_results.json,2,add_reminder_content_and_week_delta_and_time,gpt_4o_mini,nonexpert,2,later,REMINDER,,,,receipt_clock_mapping,28800,[1758099600.0],True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false]",3,CALENDAR_EFFECT_CONFLICT,True
gpt_4o_mini/nonexpert/2/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4o_mini/nonexpert/trial_2_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4o_mini,nonexpert,2,later,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false, false, false]",5,CALENDAR_EFFECT_CONFLICT,True
gpt_4o_mini/nonexpert/3/add_reminder_content_and_week_delta_and_time,toolsandbox/gpt_4o_mini/nonexpert/trial_3_results.json,2,add_reminder_content_and_week_delta_and_time,gpt_4o_mini,nonexpert,3,later,REMINDER,,,,receipt_clock_mapping,28800,[1758099600.0],True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false]",3,CALENDAR_EFFECT_CONFLICT,True
gpt_4o_mini/nonexpert/3/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4o_mini/nonexpert/trial_3_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4o_mini,nonexpert,3,later,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false, false, false]",5,CALENDAR_EFFECT_CONFLICT,True
gpt_4o_mini/nonexpert/4/add_reminder_content_and_week_delta_and_time,toolsandbox/gpt_4o_mini/nonexpert/trial_4_results.json,2,add_reminder_content_and_week_delta_and_time,gpt_4o_mini,nonexpert,4,later,REMINDER,,,,receipt_clock_mapping,28800,[1758099600.0],True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false]",3,CALENDAR_EFFECT_CONFLICT,True
gpt_4o_mini/nonexpert/4/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4o_mini/nonexpert/trial_4_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4o_mini,nonexpert,4,later,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false, false, false]",6,CALENDAR_EFFECT_CONFLICT,True
gpt_4o_mini/nonexpert/5/add_reminder_content_and_week_delta_and_time,toolsandbox/gpt_4o_mini/nonexpert/trial_5_results.json,2,add_reminder_content_and_week_delta_and_time,gpt_4o_mini,nonexpert,5,later,REMINDER,,,,receipt_clock_mapping,28800,[1758099600.0],True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false]",3,CALENDAR_EFFECT_CONFLICT,True
gpt_4o_mini/nonexpert/6/add_reminder_content_and_week_delta_and_time,toolsandbox/gpt_4o_mini/nonexpert/trial_6_results.json,2,add_reminder_content_and_week_delta_and_time,gpt_4o_mini,nonexpert,6,later,REMINDER,,,,receipt_clock_mapping,28800,[1758099600.0],True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false]",3,CALENDAR_EFFECT_CONFLICT,True
gpt_4o_mini/nonexpert/6/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4o_mini/nonexpert/trial_6_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4o_mini,nonexpert,6,later,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false, false, false, false]",6,CALENDAR_EFFECT_CONFLICT,True
gpt_4o_mini/nonexpert/7/add_reminder_content_and_week_delta_and_time,toolsandbox/gpt_4o_mini/nonexpert/trial_7_results.json,2,add_reminder_content_and_week_delta_and_time,gpt_4o_mini,nonexpert,7,later,REMINDER,,,,receipt_clock_mapping,28800,[1758099600.0],True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false]",3,CALENDAR_EFFECT_CONFLICT,True
gpt_4o_mini/nonexpert/7/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4o_mini/nonexpert/trial_7_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4o_mini,nonexpert,7,later,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false, false, false]",6,CALENDAR_EFFECT_CONFLICT,True
mistral_large_2411/expert/2/add_reminder_content_and_week_delta_and_time,toolsandbox/mistral_large_2411/expert/trial_2_results.json,2,add_reminder_content_and_week_delta_and_time,mistral_large_2411,expert,2,later,REMINDER,,,,receipt_clock_mapping,28800,[1758358800.0],True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false]",3,CALENDAR_EFFECT_CONFLICT,True
mistral_large_2411/expert/2/add_reminder_content_and_weekday_delta_and_time,toolsandbox/mistral_large_2411/expert/trial_2_results.json,3,add_reminder_content_and_weekday_delta_and_time,mistral_large_2411,expert,2,later,REMINDER,,,,receipt_clock_mapping,28800,"[1758877200.0, 1759482000.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false]",4,CALENDAR_EFFECT_CONFLICT,True
mistral_large_2411/expert/5/add_reminder_content_and_week_delta_and_time,toolsandbox/mistral_large_2411/expert/trial_5_results.json,2,add_reminder_content_and_week_delta_and_time,mistral_large_2411,expert,5,later,REMINDER,,,,receipt_clock_mapping,28800,[1758358800.0],True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false]",3,CALENDAR_EFFECT_CONFLICT,True
mistral_large_2411/expert/6/add_reminder_content_and_week_delta_and_time,toolsandbox/mistral_large_2411/expert/trial_6_results.json,2,add_reminder_content_and_week_delta_and_time,mistral_large_2411,expert,6,later,REMINDER,,,,receipt_clock_mapping,28800,[1758358800.0],True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false]",3,CALENDAR_EFFECT_CONFLICT,True
mistral_large_2411/nonexpert/2/add_reminder_content_and_weekday_delta_and_time,toolsandbox/mistral_large_2411/nonexpert/trial_2_results.json,3,add_reminder_content_and_weekday_delta_and_time,mistral_large_2411,nonexpert,2,later,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false, false, false, false]",6,CALENDAR_EFFECT_CONFLICT,True
mistral_large_2411/nonexpert/3/add_reminder_content_and_date_and_time,toolsandbox/mistral_large_2411/nonexpert/trial_3_results.json,1,add_reminder_content_and_date_and_time,mistral_large_2411,nonexpert,3,later,REMINDER,,,,receipt_clock_mapping,28800,[1711098000.0],False,,False,False,False,False,True,False,0,success,1.0,True,True,"[false, false, false, false, false, false]",1,NO_NATIVE_ADD_TEXT_ONLY,True
mistral_large_2411/nonexpert/3/add_reminder_content_and_week_delta_and_time,toolsandbox/mistral_large_2411/nonexpert/trial_3_results.json,2,add_reminder_content_and_week_delta_and_time,mistral_large_2411,nonexpert,3,later,REMINDER,,,,receipt_clock_mapping,28800,[1758272400.0],True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false]",3,CALENDAR_EFFECT_CONFLICT,True
mistral_large_2411/nonexpert/4/add_reminder_content_and_weekday_delta_and_time,toolsandbox/mistral_large_2411/nonexpert/trial_4_results.json,3,add_reminder_content_and_weekday_delta_and_time,mistral_large_2411,nonexpert,4,later,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false, false]",4,CALENDAR_EFFECT_CONFLICT,True
mistral_large_2411/nonexpert/5/add_reminder_content_and_week_delta_and_time,toolsandbox/mistral_large_2411/nonexpert/trial_5_results.json,2,add_reminder_content_and_week_delta_and_time,mistral_large_2411,nonexpert,5,later,REMINDER,,,,receipt_clock_mapping,28800,[1758272400.0],True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false]",4,CALENDAR_EFFECT_CONFLICT,True
mistral_large_2411/nonexpert/6/add_reminder_content_and_week_delta_and_time,toolsandbox/mistral_large_2411/nonexpert/trial_6_results.json,2,add_reminder_content_and_week_delta_and_time,mistral_large_2411,nonexpert,6,later,REMINDER,,,,receipt_clock_mapping,28800,[1758272400.0],True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false, false, false]",4,CALENDAR_EFFECT_CONFLICT,True
mistral_large_2411/nonexpert/6/add_reminder_content_and_weekday_delta_and_time,toolsandbox/mistral_large_2411/nonexpert/trial_6_results.json,3,add_reminder_content_and_weekday_delta_and_time,mistral_large_2411,nonexpert,6,later,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false, false]",4,CALENDAR_EFFECT_CONFLICT,True
mistral_large_2411/nonexpert/7/add_reminder_content_and_week_delta_and_time,toolsandbox/mistral_large_2411/nonexpert/trial_7_results.json,2,add_reminder_content_and_week_delta_and_time,mistral_large_2411,nonexpert,7,later,REMINDER,,,,receipt_clock_mapping,28800,[1758272400.0],True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false]",3,CALENDAR_EFFECT_CONFLICT,True
mistral_nemo/nonexpert/2/add_reminder_content_and_weekday_delta_and_time,toolsandbox/mistral_nemo/nonexpert/trial_2_results.json,3,add_reminder_content_and_weekday_delta_and_time,mistral_nemo,nonexpert,2,later,REMINDER,,,,receipt_clock_mapping,28800,"[1758877200.0, 1759482000.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false, false]",3,CALENDAR_EFFECT_CONFLICT,True
mistral_nemo/nonexpert/4/add_reminder_content_and_week_delta_and_time,toolsandbox/mistral_nemo/nonexpert/trial_4_results.json,2,add_reminder_content_and_week_delta_and_time,mistral_nemo,nonexpert,4,later,REMINDER,,,mutation_without_snapshot:u6yPX24cw,receipt_clock_mapping,28800,[1758358800.0],True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false, false, false, null, null, null, null, false, false]",7,CALENDAR_EFFECT_CONFLICT,True
mistral_nemo/nonexpert/5/add_reminder_content_and_week_delta_and_time,toolsandbox/mistral_nemo/nonexpert/trial_5_results.json,2,add_reminder_content_and_week_delta_and_time,mistral_nemo,nonexpert,5,later,REMINDER,,,,receipt_clock_mapping,28800,[1758358800.0],True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false, false, false]",5,CALENDAR_EFFECT_CONFLICT,True
mistral_nemo/nonexpert/6/add_reminder_content_and_week_delta_and_time,toolsandbox/mistral_nemo/nonexpert/trial_6_results.json,2,add_reminder_content_and_week_delta_and_time,mistral_nemo,nonexpert,6,later,REMINDER,,,,receipt_clock_mapping,28800,[1758358800.0],True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false]",3,CALENDAR_EFFECT_CONFLICT,True
mistral_nemo/nonexpert/7/add_reminder_content_and_week_delta_and_time,toolsandbox/mistral_nemo/nonexpert/trial_7_results.json,2,add_reminder_content_and_week_delta_and_time,mistral_nemo,nonexpert,7,later,REMINDER,,,,receipt_clock_mapping,28800,[1758358800.0],True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false]",3,CALENDAR_EFFECT_CONFLICT,True
mistral_nemo/nonexpert/7/add_reminder_content_and_weekday_delta_and_time,toolsandbox/mistral_nemo/nonexpert/trial_7_results.json,3,add_reminder_content_and_weekday_delta_and_time,mistral_nemo,nonexpert,7,later,REMINDER,,,,receipt_clock_mapping,28800,"[1758877200.0, 1759482000.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false, false, false]",4,CALENDAR_EFFECT_CONFLICT,True
